Tid,TEAM,CONF,DIVISION,GP,PPG,oPPG,pDIFF,PACE,oEFF,dEFF,eDIFF,SoS,rSoS,SAR,CONS,A4F,W,L,WIN%,eWIN%,pWIN%,ACH,STRK
5,Cleveland,East,Central,61,123.3,111.7,11.6,100.1,123,111.4,11.6,-2.17,0.2,9.43,13.2,0.291,51,10,0.836,0.81,0.882,0.026,11
1,Boston,East,Atlantic,61,116.8,108.2,8.6,96.7,119.7,110.9,8.8,-0.53,-2.51,8.27,15.8,0.186,43,18,0.705,0.712,0.783,-0.007,1
19,New York,East,Atlantic,61,117.4,112.9,4.5,97.3,119.7,115.2,4.5,-1.41,0.22,3.09,16.8,0.197,40,21,0.656,0.605,0.648,0.051,-1
11,Indiana,East,Central,60,116.6,115.1,1.5,99.7,116.4,114.9,1.5,-0.1,-1.02,1.4,14.8,0.186,35,25,0.583,0.54,0.549,0.043,2
16,Milwaukee,East,Central,60,114.6,112.6,2,99.8,114.6,112.6,2,-0.44,0.59,1.56,14.4,0.296,35,25,0.583,0.555,0.566,0.028,3
8,Detroit,East,Central,62,114.7,112.9,1.8,99.8,114.1,112.4,1.7,-0.6,0.69,1.1,13.3,0.317,35,27,0.565,0.551,0.559,0.014,2
15,Miami,East,Southeast,60,110.3,110.5,-0.2,96.3,112.7,113,-0.3,-0.82,-0.8,-1.12,14.3,0.235,29,31,0.483,0.492,0.493,-0.009,1
21,Orlando,East,Southeast,63,104.2,105.9,-1.7,96.3,107.8,109.6,-1.8,-0.68,-0.08,-2.48,15.5,0.301,29,34,0.46,0.454,0.444,0.006,-4
0,Atlanta,East,Southeast,62,116.9,119.7,-2.8,103.2,112.6,115.3,-2.7,0.45,-2.23,-2.25,12.4,0.196,28,34,0.452,0.414,0.408,0.038,-1
4,Chicago,East,Central,62,116.5,120.7,-4.2,102.7,112.8,117,-4.2,0.46,-0.07,-3.74,14.9,0.227,24,38,0.387,0.389,0.362,-0.002,-2
2,Brooklyn,East,Atlantic,61,105,111.6,-6.6,96.2,108.5,115.4,-6.9,0.5,-0.38,-6.4,14.6,0.295,21,40,0.344,0.318,0.283,0.026,-5
22,Philadelphia,East,Atlantic,61,109.1,113.8,-4.7,96.7,112.1,116.9,-4.8,-0.02,-0.96,-4.82,13.4,0.263,21,40,0.344,0.36,0.345,-0.016,-2
27,Toronto,East,Atlantic,62,110.4,116.1,-5.7,99.1,110.5,116.2,-5.7,1.61,-5.43,-4.09,15.1,0.277,20,42,0.323,0.353,0.312,-0.03,2
3,Charlotte,East,Southeast,60,105.1,112.9,-7.8,97.8,106.9,114.8,-7.9,-0.23,1.15,-8.13,12.9,0.213,14,46,0.233,0.27,0.243,-0.037,-7
29,Washington,East,Southeast,60,108.1,120.6,-12.5,101.3,106.3,118.6,-12.3,2.6,-1.69,-9.7,13.3,0.298,11,49,0.183,0.178,0.088,0.005,-1
20,Oklahoma City,West,Northwest,61,119.6,107,12.6,99.8,119.6,107,12.6,-0.85,0.66,11.75,12.5,0.238,50,11,0.82,0.844,0.915,-0.024,4
13,LA Lakers,West,Pacific,60,113.1,111.2,1.9,97.8,115.5,113.5,2,-0.24,1.85,1.76,15.6,0.334,39,21,0.65,0.551,0.563,0.099,7
7,Denver,West,Northwest,61,121.1,116,5.1,100.2,120,115,5,-0.41,1,4.59,15.2,0.204,39,22,0.639,0.629,0.668,0.01,-1
14,Memphis,West,Southwest,61,123.3,117,6.3,103.8,118.6,112.6,6,-0.89,1.8,5.11,15.1,0.271,38,23,0.623,0.654,0.707,-0.031,-3
10,Houston,West,Southwest,62,112.7,109.4,3.3,98.8,113.5,110.2,3.3,0.34,-0.65,3.64,12.2,0.207,37,25,0.597,0.606,0.609,-0.009,-3
9,Golden State,West,Pacific,62,113.1,111,2.1,99.1,114,111.9,2.1,0.11,-0.22,2.21,17,0.254,34,28,0.548,0.549,0.569,-0.001,2
17,Minnesota,West,Northwest,63,112.3,109.1,3.2,97.5,114.6,111.4,3.2,0.59,-2.09,3.79,12.7,0.258,34,29,0.54,0.6,0.605,-0.06,2
25,Sacramento,West,Pacific,60,116.9,115.1,1.8,99.1,116.6,114.8,1.8,-0.86,1.61,0.94,15.9,0.189,32,28,0.533,0.545,0.559,-0.012,4
12,LA Clippers,West,Pacific,61,110.7,108.8,1.9,98,112.4,110.4,2,-0.01,0.62,1.99,17.5,0.233,32,29,0.525,0.545,0.563,-0.02,-3
6,Dallas,West,Southwest,62,114.7,113.6,1.1,98.9,115.6,114.5,1.1,-0.61,0.47,0.49,14.8,0.223,32,30,0.516,0.53,0.536,-0.014,-2
23,Phoenix,West,Pacific,62,113.8,116,-2.2,97.5,115.8,117.9,-2.1,-0.84,3.93,-2.94,12.8,0.222,29,33,0.468,0.435,0.428,0.033,1
24,Portland,West,Northwest,62,110.7,114.2,-3.5,98.8,111.6,115.2,-3.6,1.24,1.15,-2.36,18.3,0.299,28,34,0.452,0.422,0.385,0.03,1
26,San Antonio,West,Southwest,60,113.3,115.2,-1.9,99.5,113.5,115.5,-2,-0.56,0.67,-2.56,15.2,0.183,26,34,0.433,0.448,0.437,-0.015,1
18,New Orleans,West,Southwest,62,111,119,-8,99.5,111.1,119,-7.9,1.85,0.82,-6.05,13.3,0.181,17,45,0.274,0.277,0.237,-0.003,-1
28,Utah,West,Northwest,61,112.3,119.7,-7.4,99.4,112.3,119.6,-7.3,1.64,0.96,-5.66,15.3,0.223,15,46,0.246,0.316,0.256,-0.07,-2
